OrganisationLabel,OrganisationURI,EffectiveDate,TrafficRegulationOrderType,Location,SideOfRoad,ParkingSpaces,FreeParking,ParkingStartPoint,ParkingEndPoint
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Abbey road, Sale",south-east,3,TRUE,A point 4 metres southwest of its junction with Park Avenue,A point 22 metres southwest of its junction with Park Avenue
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Albert road, Hale",east,6,TRUE,A point 7 metres north of its junction with Broomfield Lane,A point 40 metres north of its junction with Broomfield Lane
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Albert square (approach), Altrincham",west,6,TRUE,from a point 25 metres south of its junction with St John's Road,to a point 73 metres south of its junction with St John's Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Albion grove, Sale",north-west,11,TRUE,from a point 5 metres north-east of its junction with Roebuck Lane,to a point 5 metres south-west of its junction with Goodier Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Albion grove, Sale",south-east,4,TRUE,from a point 5 metres north-east of its junction with Roebuck Lane,to a point 5 metres south-west of its junction with Palmer Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Albion grove, Sale",south-east,4,TRUE,from a point 5 metres north-east of its junction with Palmer Street,to a point 5 metres south-west of its junction with Goodier Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Albion street, Sale",both,30,TRUE,A point 5 metres south east of its junction with Kelsall Street,A point 5 metres north west of its cul-de-sac end
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Arnside grove, Sale",east,3,TRUE,A point 5 metres southwest of its junction with Mersey Road,A point 25 metres southwest of its junction with Mersey Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Ashfield road, Altrincham",west,20,TRUE,from a point 20 metres south of its junction with Lloyd Street,to a point 10 metres north of its junction with Money Ash Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Ashfield road, Altrincham",east,20,TRUE,from a point 20 metres south of its junction with Stamford Park Road,a point 10 metres north of its junction with Elm Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Ashfield road, Altrincham",east,6,TRUE,from a point 5 metres south of its junction with Elm Road,to a point 43 metres south of its junction with Elm Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Ashfield road, Altrincham",west,10,TRUE,from a point 5 metres south of its junction with Money Ash Road,to a point 14 metres north of its junction with Hale Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Ashfield road, Sale",south-west,5,FALSE,a point 44 meters southeast of its junction with Curzon Road,a point 30 meters northwest of its junction with Claremont Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Ashfield road, Sale",south-west,5,FALSE,a point 10 meters southeast of its junction with Claremont Road,a point 15 meters northwest of its junction with Tatton Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Ashfield road, Sale",north-east,6,FALSE,a point 3 meters southeast of its junction with Joynson Street,a point 10 meters northwest of its junction with Claremont Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Ashley road, Hale",north-east,12,TRUE,from a point 34 metres south of its junction with Victoria Road,to a point 7 metres northwest of its junction with Westgate
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Ashley road, Hale",north-east,6,TRUE,from a point 42 metres northwest of its junction with Leigh Road,to a point 9 metres northwest of its junction with Leigh Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Ashley road, Hale",north-east,6,TRUE,from a point 5 metres southeast of its junction with Leigh Road,to a point 12 metres northwest of its junction with Cambridge Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Ashley road, Hale",south-west,7,TRUE,from a point 45 metres north of its junction with Crown Passages,to a point 4 metres northwest of its junction with Crown Passages
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Ashley road, Hale",north-east,6,TRUE,from a point 10 metres south-east of its junction with Cambridge Road,to a point 15 metres north-west of its junction with Murieston Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Ashley road, Hale",south-west,13,TRUE,from a point 26 metres south-east of its junction with Cecil Road,to a point 45 metres north-west of its junction with Ashley Walk
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Ashley road, Hale",south-west,3,TRUE,a point 8 metres southeast of its junction with Cecil Road,a point 26 metres southeast of its junction with Cecil Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Ashley road, Hale",north,1,TRUE,a point 10 metres west of its junction with Bath Place,a point 3 metres west of its junction with Bath Place
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Ashley road, Hale",south,12,TRUE,a point 110 metres east of its junction with Peel Avenue,a point 12 metres northwest of its junction with Spring Road
